stage,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
head,1,0.6625000238418579,0.759321928024292,0.8999999761581421,0.34251415729522705,0.0010000000474974513
head,2,0.8270833492279053,0.44323450326919556,0.9333333373069763,0.26137492060661316,0.0010000000474974513
head,3,0.8729166388511658,0.32367199659347534,0.9416666626930237,0.2331659197807312,0.0010000000474974513
head,4,0.9020833373069763,0.28942039608955383,0.9416666626930237,0.19974610209465027,0.0010000000474974513
head,5,0.9145833253860474,0.22822195291519165,0.949999988079071,0.17754173278808594,0.0010000000474974513
head,6,0.9208333492279053,0.23475290834903717,0.9583333134651184,0.1248551607131958,0.0010000000474974513
head,7,0.9145833253860474,0.22239093482494354,0.9583333134651184,0.12822289764881134,0.0010000000474974513
head,8,0.9208333492279053,0.21289204061031342,0.875,0.2746216356754303,0.0010000000474974513
head,9,0.9312499761581421,0.17209197580814362,0.8999999761581421,0.2235919088125229,0.0010000000474974513
head,10,0.9437500238418579,0.14406052231788635,0.9416666626930237,0.14661905169487,0.0003000000142492354
head,11,0.9604166746139526,0.1400396227836609,0.9666666388511658,0.10316016525030136,0.0003000000142492354
head,12,0.9645833373069763,0.10570593178272247,0.9750000238418579,0.1031721755862236,0.0003000000142492354
head,13,0.9541666507720947,0.13238245248794556,0.9750000238418579,0.10833285003900528,0.0003000000142492354
head,14,0.9583333134651184,0.11666274815797806,0.9333333373069763,0.11854550987482071,0.0003000000142492354
head,15,0.9479166865348816,0.12034302204847336,0.9750000238418579,0.0947757214307785,9.000000136438757e-05
head,16,0.956250011920929,0.1140124499797821,0.9666666388511658,0.10297399014234543,9.000000136438757e-05
head,17,0.9666666388511658,0.0985490083694458,0.9750000238418579,0.10087726265192032,9.000000136438757e-05
head,18,0.96875,0.0947481244802475,0.9750000238418579,0.10040513426065445,9.000000136438757e-05
head,19,0.9645833373069763,0.0875212624669075,0.9750000238418579,0.09892520308494568,2.700000004551839e-05
head,20,0.9708333611488342,0.09833600372076035,0.9750000238418579,0.09998362511396408,2.700000004551839e-05
head,21,0.9791666865348816,0.08514058589935303,0.9666666388511658,0.10212007164955139,2.700000004551839e-05
head,22,0.9666666388511658,0.09896386414766312,0.9666666388511658,0.10225648432970047,8.099999831756577e-06
fine,1,0.9624999761581421,0.11601254343986511,0.9583333134651184,0.13318364322185516,9.999999747378752e-06
fine,2,0.9541666507720947,0.10591211915016174,0.9583333134651184,0.09091952443122864,9.999999747378752e-06
fine,3,0.9833333492279053,0.06633221358060837,0.9750000238418579,0.06230635195970535,9.999999747378752e-06
fine,4,0.9791666865348816,0.06399168074131012,0.9750000238418579,0.06672836095094681,9.999999747378752e-06
fine,5,0.9791666865348816,0.05979616567492485,0.9750000238418579,0.05458541586995125,9.999999747378752e-06
fine,6,0.987500011920929,0.05049048364162445,0.9583333134651184,0.09588981419801712,9.999999747378752e-06
fine,7,0.987500011920929,0.0386924222111702,0.9666666388511658,0.05567384138703346,9.999999747378752e-06
fine,8,0.9937499761581421,0.03274514898657799,0.9666666388511658,0.06694833934307098,9.999999747378752e-06
fine,9,0.9916666746139526,0.02555684559047222,0.9750000238418579,0.058564551174640656,2.9999998787388904e-06
fine,10,0.9979166388511658,0.01732613518834114,0.9750000238418579,0.06609257310628891,2.9999998787388904e-06
