epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
6,0.41805556416511536,9.999999747378752e-06,2.1603610515594482,0.5277777910232544,1.1001105308532715
7,0.5902777910232544,9.999999747378752e-06,1.1041969060897827,0.5777778029441833,1.0650204420089722
8,0.7041666507720947,9.999999747378752e-06,0.7911819219589233,0.6277777552604675,0.909601092338562
9,0.7124999761581421,9.999999747378752e-06,0.7379233241081238,0.6777777671813965,0.8295304775238037
10,0.7722222208976746,9.999999747378752e-06,0.6052971482276917,0.6833333373069763,0.8170382976531982
11,0.7833333611488342,9.999999747378752e-06,0.563386857509613,0.6499999761581421,0.8464435935020447
12,0.7861111164093018,9.999999747378752e-06,0.5560846924781799,0.6611111164093018,0.8349553346633911
13,0.8180555701255798,9.999999747378752e-06,0.47457948327064514,0.6888889074325562,0.8007655739784241
14,0.8236111402511597,9.999999747378752e-06,0.46417054533958435,0.6777777671813965,0.7752377986907959
15,0.8486111164093018,9.999999747378752e-06,0.4213445484638214,0.6833333373069763,0.801788330078125
16,0.8388888835906982,9.999999747378752e-06,0.3998570740222931,0.6944444179534912,0.7662064433097839
17,0.8513888716697693,9.999999747378752e-06,0.3746727406978607,0.6944444179534912,0.7672354578971863
18,0.8597221970558167,9.999999747378752e-06,0.35467782616615295,0.7055555582046509,0.7239111065864563
19,0.8763889074325562,9.999999747378752e-06,0.31636080145835876,0.7055555582046509,0.7157456874847412
