epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.25956737995147705,7.999999979801942e-06,8.999547004699707,0.890625,0.3289463520050049
1,0.3211314380168915,7.999999979801942e-06,5.892653465270996,0.8359375,0.44945889711380005
2,0.44425955414772034,7.999999979801942e-06,2.9185898303985596,0.7578125,0.6508108973503113
3,0.6189683675765991,7.999999979801942e-06,1.2915481328964233,0.7421875,0.7779459357261658
4,0.7287853360176086,7.999999979801942e-06,0.7624309659004211,0.7578125,0.779891848564148
5,0.780366063117981,2.4000000848900527e-06,0.6440038084983826,0.7421875,0.7786673307418823
6,0.841930091381073,2.4000000848900527e-06,0.5084757804870605,0.734375,0.7730460166931152
7,0.8469218015670776,2.4000000848900527e-06,0.48139670491218567,0.734375,0.7659982442855835
8,0.8552412390708923,2.4000000848900527e-06,0.45342138409614563,0.7265625,0.7621868252754211
9,0.8552412390708923,9.999999974752427e-07,0.49048134684562683,0.734375,0.7528613805770874
10,0.860232949256897,9.999999974752427e-07,0.47283414006233215,0.734375,0.7483404874801636
